,born,year,meter,lang,X,Y
51463,1804.0,1851.0,I4_3,cs,3.2114778,3.952023
41317,1864.0,1928.0,I4_3,cs,3.1419785,3.3729918
35271,1793.0,1821.0,I4_3,cs,3.2566483,3.4820619
52690,1846.0,1872.0,I4_3,cs,3.2023308,3.5790179
36107,1793.0,1832.0,I4_3,cs,3.3440711,3.7250056
36233,1805.0,1857.0,I4_3,cs,3.4332213,3.2940185
31089,1770.0,1841.0,I4_3,cs,3.495609,3.7480717
42495,1837.0,1873.0,I4_3,cs,3.3884552,3.7057214
62412,1894.0,1912.0,I4_3,cs,3.0947883,3.3966627
61052,1881.0,1926.0,I4_3,cs,3.4483824,3.9525216
28804,1835.0,1882.0,I4_3,cs,3.5352566,3.885042
52966,1847.0,1897.0,I4_3,cs,3.589968,3.9317067
36251,1805.0,1842.0,I4_3,cs,3.2173889,3.5564563
27459,1817.0,1874.0,I4_3,cs,3.1006868,3.838906
33636,1859.0,1893.0,I4_3,cs,3.1002076,3.5688698
37629,1868.0,1894.0,I4_3,cs,3.2234323,3.7396355
51342,1804.0,1851.0,I4_3,cs,3.5271127,3.8087115
35959,1793.0,1832.0,I4_3,cs,3.2125223,3.487258
31817,1863.0,1917.0,I4_3,cs,3.2740793,3.5185754
32992,1797.0,1834.0,I4_3,cs,3.5736945,4.4937353
58262,1807.0,1874.0,I4_3,cs,3.2803159,3.4458036
42327,1842.0,1872.0,I4_3,cs,3.1829662,3.573421
27670,1855.0,1915.0,I4_3,cs,3.4126065,3.9472148
44001,1834.0,1951.0,I4_3,cs,3.1224885,3.9284456
48184,1788.0,1862.0,I4_3,cs,3.1732984,3.5033667
45445,1829.0,1895.0,I4_3,cs,3.5069478,4.0812573
66732,1883.0,1908.0,I4_3,cs,3.3944564,3.3656907
33166,1806.0,1846.0,I4_3,cs,3.4664092,3.4655123
42910,1846.0,1885.0,I4_3,cs,3.3118403,3.9749424
29450,1835.0,1885.0,I4_3,cs,3.4476826,3.9019504
36427,1832.0,1881.0,I4_3,cs,3.156936,3.3269393
33241,1806.0,1833.0,I4_3,cs,3.349694,3.8699596
36218,1805.0,1857.0,I4_3,cs,3.1013634,3.6196852
51878,1776.0,1823.0,I4_3,cs,2.8546214,4.1821895
43932,1834.0,1951.0,I4_3,cs,3.4831607,3.9753342
44913,1875.0,1937.0,I4_3,cs,3.2424257,3.1922717
51993,1769.0,1806.0,I4_3,cs,3.2261014,3.2992132
42770,1846.0,1869.0,I4_3,cs,3.2817025,3.7012203
51544,1804.0,1851.0,I4_3,cs,3.1109993,3.720265
51504,1804.0,1851.0,I4_3,cs,3.3302543,4.157605
64721,1864.0,1928.0,I4_3,cs,3.3542552,3.3033082
66480,1882.0,1933.0,I4_3,cs,3.190813,3.849754
33701,1859.0,1922.0,I4_3,cs,3.236498,3.7495465
31079,1770.0,1841.0,I4_3,cs,3.4605434,3.92988
67150,1864.0,1918.0,I4_3,cs,3.080519,3.6234608
43609,1810.0,1928.0,I4_3,cs,3.1928434,3.7347436
49152,1804.0,1836.0,I4_3,cs,3.2715805,3.2142036
51792,1804.0,1869.0,I4_3,cs,3.35451,4.160253
35966,1793.0,1832.0,I4_3,cs,3.3560295,3.0846748
51545,1804.0,1851.0,I4_3,cs,3.227232,3.7644348
27107,1877.0,1916.0,I4_3,cs,3.2326539,3.4187095
25033,1836.0,1875.0,I4_3,cs,2.9949172,3.5077393
24814,1826.0,1864.0,I4_3,cs,3.3559034,3.618849
50684,1864.0,1915.0,I4_3,cs,3.14072,3.9676752
27760,1855.0,1889.0,I4_3,cs,3.3041868,3.1754377
33102,1806.0,1846.0,I4_3,cs,3.373119,3.3802607
37771,1868.0,1933.0,I4_3,cs,3.288496,3.6521063
51457,1804.0,1851.0,I4_3,cs,3.5621765,3.8634799
35682,1793.0,1832.0,I4_3,cs,3.2569568,3.3275564
36229,1805.0,1857.0,I4_3,cs,3.113059,3.4434197
58737,1841.0,1907.0,I4_3,cs,3.5134008,3.5329125
28797,1835.0,1882.0,I4_3,cs,3.1525867,3.6303217
33090,1806.0,1846.0,I4_3,cs,3.4634318,4.049175
35948,1793.0,1832.0,I4_3,cs,3.298344,3.239175
36050,1793.0,1832.0,I4_3,cs,3.1667666,3.4688106
52552,1805.0,1840.0,I4_3,cs,3.29687,3.354325
48027,1853.0,1879.0,I4_3,cs,3.1296728,3.5243697
51677,1804.0,1869.0,I4_3,cs,3.0283175,3.4321516
63708,1884.0,1946.0,I4_3,cs,3.3184505,3.7199476
42227,1799.0,1846.0,I4_3,cs,3.3083034,3.5784082
61368,1883.0,1919.0,I4_3,cs,3.3575575,3.1381938
36205,1805.0,1857.0,I4_3,cs,3.5929582,3.4350436
35820,1793.0,1832.0,I4_3,cs,3.2362628,3.372194
51384,1804.0,1851.0,I4_3,cs,3.167684,3.3074706
64057,1883.0,1933.0,I4_3,cs,3.0841944,3.5002189
40017,1864.0,1927.0,I4_3,cs,3.3026073,3.7408633
35662,1793.0,1832.0,I4_3,cs,3.329736,3.0741014
28051,1809.0,1873.0,I4_3,cs,3.3918536,3.4069839
31197,1874.0,1897.0,I4_3,cs,3.590153,3.8452883
35242,1793.0,1821.0,I4_3,cs,3.3845265,3.2634983
53398,1818.0,1844.0,I4_3,cs,3.31292,3.2513568
35322,1793.0,1824.0,I4_3,cs,3.26799,3.420973
49065,1859.0,1918.0,I4_3,cs,3.1566498,3.394183
36099,1793.0,1832.0,I4_3,cs,3.1741536,3.4765415
35359,1793.0,1824.0,I4_3,cs,3.2723746,3.466415
33198,1806.0,1846.0,I4_3,cs,3.2403607,3.024973
33178,1806.0,1846.0,I4_3,cs,3.542247,3.6076813
27114,1877.0,1916.0,I4_3,cs,3.1425993,3.5988038
60124,1795.0,1814.0,I4_3,cs,3.137629,3.5778613
51343,1804.0,1851.0,I4_3,cs,3.1774995,3.4597054
52441,1860.0,1914.0,I4_3,cs,3.4592621,3.787077
52430,1860.0,1914.0,I4_3,cs,3.2733135,3.1718268
50727,1864.0,1920.0,I4_3,cs,3.2160852,3.2539566
38980,1864.0,1937.0,I4_3,cs,3.51074,3.8732548
29105,1835.0,1894.0,I4_3,cs,3.0635285,3.7070937
41453,1864.0,1926.0,I4_3,cs,3.094063,4.033359
43711,1818.0,1913.0,I4_3,cs,2.9876614,3.4170294
59059,1840.0,1868.0,I4_3,cs,3.0975537,3.6135342
36001,1793.0,1832.0,I4_3,cs,3.246315,3.343146
36429,1832.0,1881.0,I4_3,cs,3.1654222,3.3693674
43258,1859.0,1882.0,I4_3,cs,3.369991,3.7830615
49298,1813.0,1911.0,I4_3,cs,2.8667545,3.5439353
29260,1835.0,1913.0,I4_3,cs,3.3318183,3.871445
