,born,year,meter,lang,X,Y
33620,1859.0,1893.0,I5,cs,-0.49790856,-4.385317
54689,1853.0,1889.0,I5,cs,-0.76873046,-3.7950585
47053,1833.0,1859.0,I5,cs,-0.7337041,-4.14649
57813,1853.0,1886.0,I5,cs,-0.4257677,-4.227944
61227,1890.0,1914.0,I5,cs,-1.6616489,-2.7948866
60426,1861.0,1903.0,I5,cs,-1.4906791,-3.3268769
33610,1859.0,1893.0,I5,cs,-0.8297211,-3.86384
35038,1866.0,1897.0,I5,cs,-0.6601648,-4.2899137
49498,1845.0,1909.0,I5,cs,-0.24007832,-3.54445
55499,1853.0,1898.0,I5,cs,-0.7813057,-4.1830826
34510,1866.0,1892.0,I5,cs,-0.5552688,-4.3693547
47089,1833.0,1859.0,I5,cs,-0.9136649,-3.9043767
59037,1840.0,1868.0,I5,cs,-1.5798161,-3.163084
60388,1861.0,1884.0,I5,cs,-0.537318,-4.318433
61311,1883.0,1934.0,I5,cs,-1.2170272,-3.7029483
34363,1866.0,1919.0,I5,cs,-1.3045177,-3.2131474
38951,1864.0,1911.0,I5,cs,-0.6142566,-4.3923807
54638,1853.0,1897.0,I5,cs,-0.63013434,-4.402008
31258,1835.0,1871.0,I5,cs,-1.3917992,-3.13963
34731,1866.0,1907.0,I5,cs,-0.5569874,-4.406021
65980,1880.0,1911.0,I5,cs,-1.0680565,-2.7245333
47008,1833.0,1859.0,I5,cs,-0.9828947,-4.036003
64935,,1909.0,I5,cs,-0.68175733,-4.3295746
58801,1841.0,1886.0,I5,cs,-1.4137546,-3.7043645
43442,1859.0,1893.0,I5,cs,-0.7842809,-4.1643023
35082,1866.0,1932.0,I5,cs,-0.48283184,-4.0619073
26439,1877.0,1915.0,I5,cs,-1.0559901,-3.61797
39270,1864.0,1887.0,I5,cs,-0.5753743,-4.317006
30772,1835.0,1905.0,I5,cs,-0.3847548,-4.2817345
52993,1847.0,1897.0,I5,cs,-0.37648195,-4.1221275
41969,1864.0,1892.0,I5,cs,-1.5372119,-3.012159
65027,1867.0,1958.0,I5,cs,-0.6080633,-4.290051
30611,1835.0,1901.0,I5,cs,-1.0115455,-3.4110038
54490,1853.0,1906.0,I5,cs,-1.2609212,-3.008254
64460,1876.0,1912.0,I5,cs,-0.8949195,-3.8645988
34304,1866.0,1913.0,I5,cs,-0.8693382,-3.9659436
53819,1853.0,1891.0,I5,cs,-0.38943744,-4.424363
60695,1838.0,1868.0,I5,cs,-0.45998427,-4.0691047
25394,1871.0,1912.0,I5,cs,-1.0300796,-3.661848
40997,1864.0,1894.0,I5,cs,-1.446202,-3.4386408
56879,1853.0,1883.0,I5,cs,-0.35081992,-4.3156295
59728,1868.0,1934.0,I5,cs,-0.39566985,-4.26292
